colourB,colourA,instruction,orStimulusLeft,orStimulusRight,block,nBlockRepeats,attribute2,attribute1,target2,condition,target1,stimulusColour,stimulus,feedbackKey,feedbackAllowed,trialtype,requiredAllowed,requiredKey,imageStimulus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,participant,gender,age,frameRate,expName,date,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Lovely,e,e,3,i,i,blank.png,0,0,0,0,0,0,0,4,i,1,0.818259954453,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Dirty,i,i,4,e,e,blank.png,0,0,0,0,0,1,1,7,e,1,1.33367013931,i,1,0.317067861557,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Likeable,e,e,3,i,i,blank.png,0,0,0,0,0,2,2,3,i,1,0.0686399936676,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Despise,i,i,4,e,e,blank.png,0,0,0,0,0,3,3,6,e,1,0.167719125748,i,1,0.0507111549377,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Favorable,e,e,3,i,i,blank.png,0,0,0,0,0,4,4,2,i,1,2.31917500496,e,1,0.434810161591,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Enjoy,e,e,3,i,i,blank.png,0,0,0,0,0,5,5,1,i,1,0.0351309776306,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Attractive,e,e,3,i,i,blank.png,0,0,0,0,0,6,6,0,i,1,0.183022022247,e,1,0.115592002869,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Awful,i,i,4,e,e,blank.png,0,0,0,0,0,7,7,5,e,1,0.117769002914,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Disgust,i,i,4,e,e,blank.png,0,0,0,0,0,8,8,8,e,1,0.018627166748,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
magenta,white,"In this task stimuli will appear one by one on the screen. Your job is to categorize them using the left (E) or right (I) key. There are three possible categories:

(1) POSITIVE
(2) NEGATIVE
(3) FLOWERS

Which categories are assigned to which button will differ from phase to phase. The categories assigned to the left button will appear in the upper left-hand corner of the screen. The categories assigned to the right button will appear in the upper right corner of the screen.

Try to respond as quickly as possible, without making too many mistakes. When you make a mistake a red cross will appear. This cross will remain until you press the correct key.

Press E or I to continue. ", , ,trials_attributes.xlsx,2,Positive,Negative, ,1, ,magenta,Nasty,i,i,4,e,e,blank.png,0,0,0,0,0,9,9,9,e,1,0.0335071086884,None,0,,1,,,60.2145400253,SCIAT IAT and likerts,2016_Mar_03_1652,
